INFO 2024-09-25 15:13:15,300 cli 1 140332733942568 Starting server at tcp:port=8000:interface=0.0.0.0
INFO 2024-09-25 15:13:15,301 server 1 140332733942568 HTTP/2 support enabled
INFO 2024-09-25 15:13:15,301 server 1 140332733942568 Configuring endpoint tcp:port=8000:interface=0.0.0.0
INFO 2024-09-25 15:13:15,301 server 1 140332733942568 Listening on TCP address 0.0.0.0:8000
DEBUG 2024-09-25 15:13:38,521 selector_events 13 140133959031592 Using selector: EpollSelector
DEBUG 2024-09-25 15:14:00,827 http_protocol 1 140332733942568 HTTP response complete for ['172.18.0.6', 41194]
DEBUG 2024-09-25 15:14:00,832 http_protocol 1 140332733942568 Upgraded connection ['172.18.0.6', 41206] to WebSocket
DEBUG 2024-09-25 15:14:00,838 ws_protocol 1 140332733942568 WebSocket ['172.18.0.6', 41206] open and established
DEBUG 2024-09-25 15:14:00,838 ws_protocol 1 140332733942568 WebSocket ['172.18.0.6', 41206] accepted by application
DEBUG 2024-09-25 15:14:02,996 http_protocol 1 140332733942568 HTTP b'POST' request for ['172.18.0.6', 41218]
DEBUG 2024-09-25 15:14:03,055 http_protocol 1 140332733942568 HTTP 500 response started for ['172.18.0.6', 41218]
DEBUG 2024-09-25 15:14:03,055 http_protocol 1 140332733942568 HTTP response chunk for ['172.18.0.6', 41218]
DEBUG 2024-09-25 15:14:03,055 http_protocol 1 140332733942568 HTTP response chunk for ['172.18.0.6', 41218]
DEBUG 2024-09-25 15:14:03,055 http_protocol 1 140332733942568 HTTP close for ['172.18.0.6', 41218]
DEBUG 2024-09-25 15:14:03,055 http_protocol 1 140332733942568 HTTP response complete for ['172.18.0.6', 41218]
INFO 2024-09-25 15:29:54,119 server 1 140332733942568 Killed 2 pending application instances
DEBUG 2024-09-25 15:29:54,120 ws_protocol 1 140332733942568 WebSocket closed for ['172.18.0.6', 41206]
DEBUG 2024-09-25 15:29:54,121 ws_protocol 1 140332733942568 WebSocket closed for ['172.18.0.6', 37898]
